,화장실명,주소,lat,lng
0,구정빌딩,서울특별시 논현로 868 (개방화장실),37.5260853713573,127.028885110878
1,중산빌딩,서울특별시 논현로 878 (개방화장실),37.527091413813,127.028952132655
2,백영신사빌딩,서울특별시 도산대로 307 (개방화장실),37.5222760218429,127.034896933822
3,압구정주유소,서울특별시 언주로842 (개방화장실),37.5253467761709,127.033802833889
4,한양주유소,서울특별시 압구정로 302 (개방화장실),37.5288083225857,127.034160991395
5,반도상가,서울특별시 압구정로 306 (개방화장실),37.5288546415044,127.034753151499
6,쌍봉빌딩,서울특별시 언주로 874 (개방화장실),37.5285885762172,127.034133513054
7,씨네시티,서울특별시 도산대로 323 (개방화장실),37.5228971585502,127.037016265027
8,한양타운,서울특별시 선릉로 823 (개방화장실),37.5256355438421,127.039342517747
9,배강빌딩,서울특별시 선릉로 801 (개방화장실),37.5235716964761,127.038832710012
10,현대상가 4동,서울특별시 압구정로29길 71 (개방화장실),37.5336032834133,127.028325815765
11,현대상가 10차동,서울특별시 압구정로29길 69 (개방화장실),37.5310864337439,127.025108957864
12,주구 1상가,서울특별시 압구정로29길 68 (개방화장실),37.5325363787069,127.029186511113
13,주구 2상가,서울특별시 압구정로29길 68 (개방화장실),37.5315341736395,127.029273123095
14,금강쇼핑센터,서울특별시 압구정로 201 (개방화장실),37.5015784938059,127.036157208818
15,성지하이츠 3차 오피스텔,서울특별시 논현로 507 (개방화장실),37.5008485547307,127.035677012169
16,성지하이츠 2차 오피스텔,서울특별시 테헤란로 147 (개방화장실),37.5074403490042,127.035248895537
17,송산빌딩,서울특별시 봉은사로 210 (개방화장실),37.5027340222428,127.036487434295
18,GS칼텍스 타워주유소,서울특별시 논현로 516 (개방화장실),37.5019949322814,127.037336400239
19,GS타워,서울특별시 논현로 508 (개방화장실),37.5046966146085,127.048013395254
20,신도벤처타워,서울특별시 테헤란로 333 (개방화장실),37.5026271947634,127.045014411777
21,㈜동산빌딩 대아빌딩점,서울특별시 테헤란로 44길 5 (개방화장실),37.4997440471512,127.034954751198
22,아크플레이스(구 캐피탈타워),서울특별시 테헤란로 142 (개방화장실),37.4985646987797,127.03502680361
23,LG 에클라트 오피스텔,서울특별시 테헤란로20길 19 (개방화장실),37.4976512279398,127.036613426905
24,광택 선팅 전문,서울특별시 논현로79길 20 (개방화장실),37.4947631163567,127.035213196089
25,우성빌딩,서울특별시 역삼로 145 (개방화장실),37.49954924162,127.028248373333
26,케이스퀘어강남,서울특별시 강남대로94길 11 (개방화장실),37.4972864522783,127.032134383553
27,커피스미스빌딩,서울특별시 테헤란로8길 25 (개방화장실),37.4973415324126,127.032686830347
28,감람교회,서울특별시 논현로85길 71 (개방화장실),37.4943841027679,127.035078677738
29,서광주유소,서울특별시 역삼로 142 (개방화장실),37.4913752931702,127.032510770743
