매장명,주소-좌표,lat,lng,주소
펑키코코,서울특별시 강남구 삼성동 46-12,37.5127653964654,127.049074547992,서울특별시 강남구 삼성동 46-12
우프바이베럴즈 신사점,서울특별시 강남구 신사동 520,37.5205949925929,127.021407413136,서울특별시 강남구 신사동 520
프랑소와펫 신사,서울특별시 강남구 신사동 639-6,37.5282797888279,127.036588003768,서울특별시 강남구 신사동 639-6
벤하우스 펫 에어버기,서울특별시 강남구 삼성동 75-8,37.5134792404385,127.054272643573,서울특별시 강남구 삼성동 75-8
야멍해봐 서울강남역점,서울특별시 강남구 역삼동 821,37.4986090348489,127.027897674019,서울특별시 강남구 역삼동 821
러블리하우스,서울특별시 강남구 청담동 97-11,37.5247115154787,127.045736757037,서울특별시 강남구 청담동 97-11
디자인포도그,서울특별시 강남구 신사동 535-17,37.5199820686148,127.022703024992,서울특별시 강남구 신사동 535-17
봉구의간식 가로수점,서울특별시 강남구 신사동 548-4,37.5238637207043,127.022951267555,서울특별시 강남구 신사동 548-4
므에뜨,서울특별시 강남구 청담동 20-3,37.5222791833294,127.042314991326,서울특별시 강남구 청담동 20-3
강남펫스타일,서울특별시 강남구 역삼동 730-2,37.4992819352019,127.04358567869,서울특별시 강남구 역삼동 730-2
페페로니,서울특별시 강남구 삼성동 24-1,37.5156576769642,127.049796860039,서울특별시 강남구 삼성동 24-1
도그버디 논현점,서울특별시 강남구 논현동 181-7,37.5077477148501,127.026903634148,서울특별시 강남구 논현동 181-7
우세아,서울특별시 강남구 논현동 242-54,37.5155848146683,127.041568510446,서울특별시 강남구 논현동 242-54
왈펫,서울특별시 강남구 삼성동 35-3,37.5120916476738,127.043499925642,서울특별시 강남구 삼성동 35-3
282dog,서울특별시 강남구 논현동 10-15,37.5167052720141,127.025489181502,서울특별시 강남구 논현동 10-15
뮤즈인,서울특별시 강남구 신사동 550,37.5237694052413,127.023311769592,서울특별시 강남구 신사동 550 초원빌딩 1층 102호
피딩스프레쉬 청담점,서울특별시 강남구 청담동 125-16,37.5251489775713,127.051990602633,서울특별시 강남구 청담동 125-16
치치앤코,서울특별시 강남구 신사동 561-36,37.5194827811311,127.025966470441,서울특별시 강남구 신사동 561-36 지앤지빌딩 3층
루이독 현대백화점압구정본점,서울특별시 강남구 압구정동 429,37.5273343175715,127.027469985877,서울특별시 강남구 압구정동 429 현대백화점 본점 B1
몽슈슈 청담플래그십,서울특별시 강남구 청담동 81-7,37.5259575103206,127.044561091484,서울특별시 강남구 청담동 81-7
루이독 현대백화점무역센터점,서울특별시 강남구 삼성동 159-7,37.5085953316928,127.059718502493,서울특별시 강남구 삼성동 159-7 현대백화점무역센터점 B1
니어바이어스,서울특별시 강남구 논현동 103-12,37.5197223651948,127.039036818559,서울특별시 강남구 논현동 103-12
멍스토랑,서울특별시 강남구 논현동 123-5,37.5112835470901,127.02387783019,서울특별시 강남구 논현동 123-5 엠이에스빌딩 1층
폴리파크 도곡역점,서울특별시 강남구 대치동 500,37.4908400715786,127.057241007924,서울특별시 강남구 대치동 500 1층
놀로스퀘어,서울특별시 강남구 청담동 46,37.5194408603474,127.049030052105,서울특별시 강남구 청담동 46 놀로스퀘어
펫스튜어드 청담동점,서울특별시 강남구 청담동 122-35,37.5264326441473,127.049667021648,서울특별시 강남구 청담동 122-35 펫스튜어드 청담점
펫클럽 선정릉점,서울특별시 강남구 논현동 268-4,37.5120119865121,127.042793860933,서울특별시 강남구 논현동 268-4 1층 102호 펫클럽 선정릉점
장보는강아지와고양이 대치점,서울특별시 강남구 대치동 994-6,37.4990731004765,127.067815158511,서울특별시 강남구 대치동 994-6 수안빌딩 1층 장보는강아지와고양이
폴리파크 도곡역점,서울특별시 강남구 대치동 500 ,37.4908400715786,127.057241007924,서울특별시 강남구 대치동 500 1층
펫클럽 보라매 자이점,서울특별시 동작구 신대방동 724,37.498559088724,126.926048617167,서울특별시 동작구 신대방동 724 보라매 자이 더 포레스트 상가동 1층 1455호
도그버디 이수점,서울특별시 동작구 사당동 128-47,37.4881193061169,126.979983367767,서울특별시 동작구 사당동 128-47
꼬리치는 강아지,서울특별시 동작구 상도동 34-11,37.5046109742517,126.946235473091,서울특별시 동작구 상도동 34-11 1층
도그앤프릭스,서울특별시 동작구 신대방동 347-13,37.4987001704798,126.928362477273,서울특별시 동작구 신대방동 347-13
스프링펫,서울특별시 동작구 상도동 324-68,37.499206353349,126.930776544184,서울특별시 동작구 상도동 324-68
콩쿤샵,서울특별시 동작구 상도동 210-385,37.4981738963629,126.943863568237,서울특별시 동작구 상도동 210-385
한끼멍냥,서울특별시 동작구 신대방동 692-65,37.487743229352,126.912237580655,서울특별시 동작구 신대방동 692-65 2층
커들리 수제간식,서울특별시 동작구 사당동 1034-41,37.4794830103371,126.979238918972,서울특별시 동작구 사당동 1034-41 CUDDLY
댕쁘앙,서울특별시 동작구 상도1동 765,37.5026083394654,126.948735258595,서울특별시 동작구 상도1동 765 1층
꼬리치는강아지성대시장점,서울특별시 동작구 상도동 250-6,37.4997422096373,126.932854403047,서울특별시 동작구 상도동 250-6
